Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	13826	67.9935	0.152514	1.04636	0.0882382	1.69631
48	11730	71.4179	0.348707	1.54287	0.185335	0.97578
51	12784	35.5051	0.738614	2.48034	0.906389	0.924265
52	15428	78.138	0.0933853	1.09507	0.0630503	0.380814
55	13601	66.1588	0.278778	0.917028	0.138735	1.02583
110	13009	75.3541	0.126358	1.10227	0.0857263	0.623738
112	13672	78.6972	0.102336	1.71112	0.290316	1.64856
115	16564	64.9368	0.0912008	1.04615	0.0541616	1.47161
117	12635	70.7274	0.277217	1.3704	0.151625	1.03255
119	13273	68.0875	0.126981	1.06294	0.0813583	2.16399
122	13299	59.1034	0.263424	1.91935	0.150182	1.09983
